N,P,K,temperature,humidity,ph,rainfall,label
52.44,60.11,79.73,27.49,68.4,4.05,198.68,blackgram
133.1,71.28,71.58,36.14,24.76,3.86,148.6,jute
102.48,124.64,40.23,29.69,37.73,7.13,290.06,papaya
83.81,52.6,126.45,12.92,63.06,9.3,81.31,mungbean
21.84,126.75,100.32,16.5,48.57,6.52,184.6,blackgram
21.84,17.34,178.14,17.68,69.09,3.81,216.06,mothbeans
8.13,113.75,11.42,19.03,86.9,4.83,251.16,chickpea
121.26,123.66,133.77,29.79,19.32,4.97,133.95,jute
84.16,30.45,157.59,27.64,66.77,5.53,212.34,muskmelon
99.13,65.25,156.9,17.11,28.43,3.76,104.9,pigeonpeas
2.88,28.17,182.21,12.36,43.16,8.93,141.93,orange
135.79,103.92,150.81,16.0,12.63,6.59,270.78,wheat
116.54,79.95,190.56,44.45,20.87,7.53,285.97,pomegranate
29.73,93.95,71.53,26.4,35.58,3.9,221.27,kidneybeans
25.46,32.51,105.64,40.36,37.36,3.82,124.82,apple
25.68,34.64,7.82,39.71,81.97,7.02,249.62,kidneybeans
42.59,10.81,6.39,27.9,69.35,8.82,27.24,maize
73.47,50.09,53.03,34.73,87.77,6.67,48.77,papaya
60.47,83.36,25.16,16.75,57.93,8.77,205.18,mungbean
40.77,125.11,57.04,34.09,29.34,8.37,101.55,pomegranate
85.66,98.37,40.41,19.53,36.21,3.96,286.39,maize
19.53,65.96,10.7,39.12,35.59,4.71,142.1,maize
40.9,138.44,186.86,12.93,36.12,7.45,140.22,rice
51.29,105.69,6.64,37.06,63.84,6.16,209.86,mango
63.85,135.22,152.22,13.5,52.46,5.24,234.92,lentil
109.92,78.86,35.43,40.84,40.83,6.01,153.16,pigeonpeas
27.95,41.25,187.45,20.65,21.93,6.17,79.92,pomegranate
71.99,12.4,183.56,32.9,11.77,8.96,236.53,mungbean
82.94,106.65,135.78,27.06,27.51,4.12,109.7,papaya
6.5,21.98,139.45,22.82,18.6,5.18,69.03,pomegranate
85.06,47.39,6.07,32.59,72.84,6.73,196.86,pigeonpeas
23.87,79.55,201.97,43.16,19.0,7.69,45.33,banana
9.11,84.02,180.57,11.44,67.94,7.28,291.98,orange
132.84,89.08,184.02,42.16,40.85,9.15,197.07,maize
135.19,28.28,136.85,31.32,15.87,8.27,296.05,mango
113.18,58.16,73.96,38.26,75.02,6.84,114.89,chickpea
42.65,91.41,183.73,23.44,56.37,4.79,291.94,blackgram
13.67,140.77,63.3,26.51,28.86,6.21,60.76,muskmelon
95.79,106.87,117.54,40.41,81.57,7.66,31.39,banana
61.62,134.16,24.95,24.52,13.62,8.53,29.24,coconut
17.09,111.71,189.39,28.71,26.15,9.26,150.16,mothbeans
69.32,87.84,33.15,10.71,70.16,7.13,43.24,banana
4.81,31.88,49.98,15.55,66.75,6.66,163.41,mungbean
127.3,98.34,116.63,32.46,33.14,3.61,111.7,cotton
36.23,92.27,157.82,35.09,14.96,3.93,113.98,watermelon
92.75,89.35,128.87,30.39,78.65,4.44,197.97,wheat
43.64,73.57,51.43,15.02,35.1,3.83,65.67,pomegranate
72.81,79.01,5.19,25.59,25.66,5.91,234.63,cotton
76.54,51.82,156.43,22.43,51.28,5.52,182.97,kidneybeans
25.88,77.7,202.04,27.35,82.82,7.32,276.18,coffee
135.74,32.66,166.98,40.46,13.48,6.71,122.16,pigeonpeas
108.52,117.72,97.04,37.16,71.26,7.08,295.16,papaya
131.53,31.01,185.75,12.94,55.8,6.33,181.23,grapes
125.28,16.9,86.97,41.16,44.04,5.17,292.55,mothbeans
83.71,66.07,109.99,26.51,69.53,9.22,27.58,banana
129.06,97.16,100.43,36.04,87.27,4.02,223.83,apple
12.39,66.28,94.52,14.9,28.34,9.13,248.65,chickpea
27.44,43.75,160.04,33.48,21.49,5.37,34.89,coconut
6.33,83.14,110.35,18.27,83.03,6.58,182.11,jute
45.55,53.58,68.34,25.34,63.52,4.15,244.54,jute
54.41,135.6,56.63,10.59,45.04,3.93,177.09,lentil
37.99,134.17,12.55,15.31,55.86,6.08,37.87,rice
116.02,75.33,121.64,13.22,69.65,7.95,214.17,coffee
49.95,50.9,50.99,18.39,71.84,5.12,36.97,chickpea
39.33,108.2,34.63,13.5,83.59,6.87,248.89,mango
75.98,10.14,135.77,34.22,44.15,5.17,32.05,pigeonpeas
19.73,71.47,141.24,11.02,33.47,5.83,58.47,watermelon
112.31,52.09,155.43,31.62,61.17,8.94,97.03,grapes
10.44,133.88,105.72,14.92,43.26,8.64,197.34,maize
138.16,6.68,183.81,43.08,57.57,6.6,293.38,papaya
108.11,82.39,192.27,42.66,43.6,4.93,52.99,pigeonpeas
27.82,108.69,166.47,17.89,22.24,4.66,59.96,wheat
0.77,72.9,132.12,31.5,47.55,9.22,123.28,blackgram
114.16,16.96,65.74,10.98,65.27,4.72,254.14,mango
98.96,141.14,201.59,42.61,73.94,8.35,150.82,orange
102.06,77.52,59.83,28.3,49.47,5.71,110.05,banana
107.98,90.99,45.53,11.51,23.22,9.41,177.14,cotton
10.37,38.13,93.43,21.99,43.18,5.71,92.95,jute
50.19,72.69,16.37,12.69,72.9,5.61,132.32,chickpea
16.22,65.08,200.7,23.75,43.03,7.32,113.13,coffee
120.83,15.49,122.69,33.45,65.72,9.27,245.16,mothbeans
87.26,19.86,116.39,26.45,50.58,9.36,278.79,banana
46.33,122.25,136.16,23.43,29.3,7.74,232.68,coffee
8.9,38.57,104.4,14.17,73.69,8.03,142.94,pomegranate
43.54,32.29,11.41,18.57,16.74,6.88,161.21,mothbeans
45.53,75.69,127.46,13.51,51.99,8.03,55.02,lentil
102.14,112.62,148.23,38.26,26.71,8.66,229.12,blackgram
89.26,13.67,88.35,14.73,15.37,6.42,187.01,wheat
124.21,85.75,156.46,30.84,50.23,7.22,272.68,kidneybeans
66.11,21.69,50.4,22.0,49.96,6.72,76.17,lentil
16.74,10.1,49.26,17.91,66.55,6.87,232.72,grapes
99.85,12.38,37.28,32.38,69.58,8.84,211.71,muskmelon
106.51,121.78,79.4,26.0,68.22,5.63,94.44,wheat
78.58,21.52,174.4,24.01,42.76,4.75,206.87,papaya
107.94,11.32,170.58,30.75,60.54,6.24,278.82,coffee
69.13,66.31,81.56,27.19,56.16,4.75,277.16,blackgram
73.18,123.16,122.82,20.62,43.72,6.49,221.5,grapes
59.86,41.74,149.16,29.57,57.78,8.92,33.46,watermelon
3.56,64.04,53.24,33.43,85.78,7.2,264.23,papaya
15.1,10.59,38.63,10.93,25.43,8.63,204.18,mungbean
4.4,67.87,199.42,26.31,82.46,4.5,106.92,watermelon
89.1,85.87,128.51,12.02,14.28,8.91,72.43,mungbean
44.01,84.93,201.28,16.52,34.67,7.11,52.54,chickpea
71.2,51.54,72.55,29.62,33.05,3.69,34.07,pigeonpeas
127.06,49.17,145.61,40.32,60.11,7.3,231.15,pomegranate
34.9,19.93,49.52,40.9,20.5,9.21,86.04,banana
57.45,56.35,57.24,12.45,80.59,3.98,26.79,blackgram
105.78,18.93,107.38,24.67,76.28,6.99,131.24,orange
32.03,112.32,68.92,30.41,62.17,8.99,155.13,apple
10.78,140.28,38.52,15.15,46.67,3.56,67.38,cotton
40.57,140.81,57.58,36.79,84.64,7.29,32.33,maize
22.57,126.11,12.15,36.05,76.46,6.35,72.96,mango
130.16,89.11,145.88,41.62,49.95,5.58,210.15,pigeonpeas
113.14,103.12,103.42,10.3,66.15,7.27,43.03,grapes
88.68,44.93,23.85,17.58,55.35,3.82,175.41,rice
